Country,score,pluralism,functioning,participation,culture,liberty,label
Norway,9.93,10,9.64,10,10,10,Fulldemocracy
Iceland,9.58,10,9.29,8.89,10,9.71,Fulldemocracy
Sweden,9.45,9.58,9.64,8.33,10,9.71,Fulldemocracy
NewZealand,9.26,10,9.29,8.89,8.13,10,Fulldemocracy
Denmark,9.11,9.17,9.29,8.33,9.38,9.41,Fulldemocracy
Switzerland,9.09,9.58,9.29,7.78,9.38,9.41,Fulldemocracy
Canada,9.08,9.58,9.29,7.78,8.75,10,Fulldemocracy
Finland,9.03,10,8.93,7.78,8.75,9.71,Fulldemocracy
Australia,9.01,9.58,8.93,7.78,8.75,10,Fulldemocracy
Netherlands,8.92,9.58,8.57,8.89,8.13,9.41,Fulldemocracy
Luxembourg,8.88,10,9.29,6.67,8.75,9.71,Fulldemocracy
Ireland,8.85,9.58,7.5,7.78,9.38,10,Fulldemocracy
Germany,8.64,9.58,8.57,7.78,8.13,9.12,Fulldemocracy
Austria,8.54,9.58,7.86,8.33,7.5,9.41,Fulldemocracy
Malta,8.39,9.17,8.21,6.11,8.75,9.71,Fulldemocracy
UnitedKingdom,8.31,9.58,7.14,6.67,8.75,9.41,Fulldemocracy
Spain,8.3,9.58,7.14,7.22,8.13,9.41,Fulldemocracy
Mauritius,8.28,9.17,8.21,5.56,8.75,9.71,Fulldemocracy
Uruguay,8.17,10,8.93,4.44,7.5,10,Fulldemocracy
UnitedStates,8.05,9.17,7.5,7.22,8.13,8.24,Fulldemocracy
Italy,7.98,9.58,6.43,7.22,8.13,8.53,Flaweddemocracy
SouthKorea,7.97,8.75,7.86,7.22,7.5,8.53,Flaweddemocracy
Japan,7.96,9.17,8.21,6.11,7.5,8.82,Flaweddemocracy
CostaRica,7.96,9.58,7.5,6.11,6.88,9.71,Flaweddemocracy
CzechRepublic,7.94,9.58,7.14,6.67,6.88,9.41,Flaweddemocracy
Belgium,7.93,9.58,8.21,5.56,6.88,9.41,Flaweddemocracy
France,7.92,9.58,7.14,7.78,6.25,8.82,Flaweddemocracy
Botswana,7.87,9.17,7.14,6.11,7.5,9.41,Flaweddemocracy
Estonia,7.85,9.58,7.86,6.11,6.88,8.82,Flaweddemocracy
Chile,7.84,9.58,8.57,4.44,6.88,9.71,Flaweddemocracy
Taiwan,7.83,9.58,7.86,6.67,5.63,9.41,Flaweddemocracy
CapeVerde,7.81,9.17,7.86,6.67,6.25,9.12,Flaweddemocracy
Portugal,7.79,9.58,6.43,6.67,6.88,9.41,Flaweddemocracy
Israel,7.77,9.17,7.14,8.89,7.5,6.18,Flaweddemocracy
India,7.74,9.58,7.14,7.22,5.63,9.12,Flaweddemocracy
Slovenia,7.57,9.58,7.14,6.67,5.63,8.82,Flaweddemocracy
SouthAfrica,7.56,8.33,8.21,8.33,5,7.94,Flaweddemocracy
Lithuania,7.54,9.58,6.07,6.11,6.25,9.71,Flaweddemocracy
Cyprus,7.53,9.17,6.43,6.67,6.25,9.12,Flaweddemocracy
Greece,7.45,9.58,5.36,6.67,6.25,9.41,Flaweddemocracy
Jamaica,7.39,9.17,6.79,5,6.88,9.12,Flaweddemocracy
Latvia,7.37,9.58,5.71,5.56,6.88,9.12,Flaweddemocracy
Slovakia,7.29,9.58,7.5,5.56,5,8.82,Flaweddemocracy
Timor-Leste,7.24,8.67,7.14,5.56,6.88,7.94,Flaweddemocracy
Panama,7.19,9.58,6.43,6.11,5,8.82,Flaweddemocracy
Bulgaria,7.14,9.17,6.07,7.22,5,8.24,Flaweddemocracy
TrinidadandTobago,7.1,9.58,7.14,5.56,5,8.24,Flaweddemocracy
Poland,7.09,9.58,5.71,6.67,4.38,9.12,Flaweddemocracy
Indonesia,7.03,7.75,7.14,6.67,6.25,7.35,Flaweddemocracy
Argentina,7.02,9.17,5,6.11,6.88,7.94,Flaweddemocracy
Brazil,6.96,9.58,6.79,5.56,3.75,9.12,Flaweddemocracy
Croatia,6.93,9.17,6.07,5.56,5.63,8.24,Flaweddemocracy
Ghana,6.86,8.33,5.71,6.67,6.25,7.35,Flaweddemocracy
Philippines,6.84,8.33,5.71,6.67,4.38,9.12,Flaweddemocracy
Hungary,6.84,9.17,6.07,4.44,6.88,7.65,Flaweddemocracy
Suriname,6.77,9.17,6.43,5,5,8.24,Flaweddemocracy
Tunisia,6.72,7,6.07,7.78,6.88,5.88,Flaweddemocracy
Serbia,6.71,9.17,5.36,6.67,5,7.35,Flaweddemocracy
Romania,6.68,9.17,5.71,5,5,8.53,Flaweddemocracy
DominicanRepublic,6.67,8.75,5.71,5,6.25,7.65,Flaweddemocracy
ElSalvador,6.64,9.17,6.07,4.44,5,8.53,Flaweddemocracy
Mongolia,6.62,9.17,5.71,5,5,8.24,Flaweddemocracy
Colombia,6.62,9.17,7.14,3.89,4.38,8.53,Flaweddemocracy
Lesotho,6.59,8.25,5.36,6.67,5.63,7.06,Flaweddemocracy
Peru,6.58,9.17,5,6.11,4.38,8.24,Flaweddemocracy
Mexico,6.55,8.33,6.07,7.22,4.38,6.76,Flaweddemocracy
HongKong,6.5,4.33,5.71,5.56,7.5,9.41,Flaweddemocracy
Malaysia,6.43,6.92,7.86,5.56,6.25,5.59,Flaweddemocracy
SriLanka,6.42,7.83,6.79,5,6.88,5.59,Flaweddemocracy
Moldova,6.35,7.92,4.29,6.67,4.38,8.53,Flaweddemocracy
Paraguay,6.33,8.33,5.71,5,4.38,8.24,Flaweddemocracy
Namibia,6.31,5.67,5.36,6.67,5.63,8.24,Flaweddemocracy
Zambia,6.28,7.92,5.36,3.89,6.88,7.35,Flaweddemocracy
Singapore,6.14,4.33,7.5,5.56,6.25,7.06,Flaweddemocracy
Senegal,6.08,7.92,5.36,4.44,5.63,7.06,Flaweddemocracy
Guyana,6.05,7.92,5.36,5.56,4.38,7.06,Flaweddemocracy
PapuaNewGuinea,6.03,6.92,6.07,3.89,5.63,7.65,Flaweddemocracy
Macedonia,6.02,7.33,4.64,6.11,4.38,7.65,Flaweddemocracy
Montenegro,6.01,7.92,5.71,5,4.38,7.06,Flaweddemocracy
Guatemala,5.92,7.92,6.07,3.89,4.38,7.35,Hybridregime
Albania,5.91,7,4.36,5.56,5,7.65,Hybridregime
Georgia,5.88,8.67,4.29,5.56,5,5.88,Hybridregime
Ecuador,5.87,8.25,4.64,5,4.38,7.06,Hybridregime
Honduras,5.84,8.75,5.71,3.89,4.38,6.47,Hybridregime
Bolivia,5.75,7,5.36,5,3.75,7.65,Hybridregime
Bangladesh,5.73,7.42,5.07,5,4.38,6.76,Hybridregime
Benin,5.72,6.92,5.71,4.44,5.63,5.88,Hybridregime
Ukraine,5.7,5.83,3.93,6.67,5,7.06,Hybridregime
Mali,5.7,7.42,3.93,4.44,6.25,6.47,Hybridregime
Fiji,5.69,4.58,5.71,6.67,5.63,5.88,Hybridregime
Tanzania,5.58,7,5,5,5.63,5.29,Hybridregime
Malawi,5.55,6.58,4.29,4.44,6.25,6.18,Hybridregime
Kyrgyzstan,5.33,7.83,3.29,5.56,5,5,Hybridregime
Kenya,5.33,4.33,5,6.67,5.63,5,Hybridregime
Nicaragua,5.26,6.17,3.29,4.44,5.63,6.76,Hybridregime
Uganda,5.22,5.67,3.57,4.44,6.25,6.18,Hybridregime
Turkey,5.12,6.67,5.36,5,5.63,2.94,Hybridregime
Thailand,5.09,4.5,3.93,5.56,5,6.47,Hybridregime
Venezuela,5,6.08,3.93,5,4.38,5.59,Hybridregime
Liberia,4.95,7.83,0.79,5.56,5,5.59,Hybridregime
Bhutan,4.93,8.33,5.36,2.78,4.38,3.82,Hybridregime
Lebanon,4.86,4.42,2.14,7.78,4.38,5.59,Hybridregime
Madagascar,4.85,5.5,2.86,5.56,5.63,4.71,Hybridregime
BosniaandHerzegovina,4.83,6.5,2.93,3.89,4.38,6.47,Hybridregime
Nepal,4.77,3.92,4.29,4.44,5.63,5.59,Hybridregime
BurkinaFaso,4.7,4.42,4.29,4.44,5.63,4.71,Hybridregime
Morocco,4.66,4.75,4.64,3.89,5.63,4.41,Hybridregime
Nigeria,4.62,6.08,4.29,3.33,5,4.41,Hybridregime
Mozambique,4.6,4.42,3.57,5.56,5.63,3.82,Hybridregime
Palestine,4.57,4.75,2.14,7.78,4.38,3.82,Hybridregime
SierraLeone,4.55,6.58,1.86,2.78,6.25,5.29,Hybridregime
Pakistan,4.4,6,5.71,2.78,2.5,5,Hybridregime
Cambodia,4.27,3.17,5.71,3.33,5,4.12,Hybridregime
Myanmar,4.14,3.17,3.57,4.44,6.88,2.65,Hybridregime
Iraq,4.08,4.33,0.07,7.22,4.38,4.41,Hybridregime
Armenia,4,4.33,2.86,4.44,2.5,5.88,Hybridregime
Mauritania,3.96,3,4.29,5,3.13,4.41,Authoritarian
Algeria,3.95,3,2.21,3.89,6.25,4.41,Authoritarian
Haiti,3.94,4.75,2.21,2.22,3.75,6.76,Authoritarian
Jordan,3.86,3.58,3.93,3.89,4.38,3.53,Authoritarian
Kuwait,3.85,3.17,4.29,3.89,4.38,3.53,Authoritarian
Niger,3.85,6.25,1.14,2.78,4.38,4.71,Authoritarian
Ethiopia,3.83,0,3.57,6.11,5.63,3.82,Authoritarian
Gabon,3.76,3,2.21,4.44,5,4.12,Authoritarian
Comoros,3.71,4.33,2.21,4.44,3.75,3.82,Authoritarian
Cameroon,3.66,2,3.57,3.89,5,3.82,Authoritarian
Belarus,3.62,1.75,3.57,3.89,6.25,2.65,Authoritarian
Vietnam,3.53,0,3.93,3.89,6.88,2.94,Authoritarian
Cuba,3.52,1.75,4.64,3.89,4.38,2.94,Authoritarian
Togo,3.41,4,1.14,2.78,5,4.12,Authoritarian
Angola,3.35,0.92,3.21,5,4.38,3.24,Authoritarian
IvoryCoast,3.31,0,3.21,3.89,5.63,3.82,Authoritarian
Russia,3.31,2.67,2.86,5,2.5,3.53,Authoritarian
Egypt,3.18,3,2.86,3.33,3.75,2.94,Authoritarian
Qatar,3.18,0,3.93,2.22,5.63,4.12,Authoritarian
Guinea,3.14,3.5,0.43,4.44,4.38,2.94,Authoritarian
China,3.14,0,4.64,3.33,6.25,1.47,Authoritarian
Swaziland,3.09,0.92,2.86,2.22,5.63,3.82,Authoritarian
Rwanda,3.07,0.83,5,2.22,4.38,2.94,Authoritarian
Kazakhstan,3.06,0.5,2.14,4.44,4.38,3.82,Authoritarian
Zimbabwe,3.05,0.5,2,3.89,5.63,3.24,Authoritarian
Oman,3.04,0,3.93,2.78,4.38,4.12,Authoritarian
Gambia,2.97,1.33,3.93,2.22,5,2.35,Authoritarian
DemocraticRepublicoftheCongo,2.91,1.67,2.86,3.33,3.75,2.94,Authoritarian
Djibouti,2.9,0.42,2.5,3.33,5.63,2.65,Authoritarian
Bahrain,2.79,1.25,3.21,2.78,4.38,2.35,Authoritarian
Afghanistan,2.77,2.5,1.14,3.89,2.5,3.82,Authoritarian
UnitedArabEmirates,2.75,0,3.57,2.22,5,2.94,Authoritarian
Azerbaijan,2.71,0.5,2.14,3.33,3.75,3.82,Authoritarian
Burundi,2.49,0.5,0.43,3.89,5,2.65,Authoritarian
Sudan,2.37,0,1.79,3.89,5,1.18,Authoritarian
Eritrea,2.37,0,2.14,1.67,6.88,1.18,Authoritarian
Libya,2.25,1,0,1.67,5.63,2.94,Authoritarian
Yemen,2.24,0.5,0.36,4.44,5,0.88,Authoritarian
Laos,2.21,0,3.21,1.67,5,1.18,Authoritarian
Iran,2.16,0,2.86,3.33,3.13,1.47,Authoritarian
RepublicoftheCongo,2.11,0.92,0.71,2.78,4.38,1.76,Authoritarian
Uzbekistan,1.95,0.08,1.86,2.22,5,0.59,Authoritarian
Tajikistan,1.95,0.58,0.07,1.67,6.25,1.18,Authoritarian
Guinea-Bissau,1.93,1.67,0,2.78,3.13,2.06,Authoritarian
SaudiArabia,1.93,0,2.86,2.22,3.13,1.47,Authoritarian
Turkmenistan,1.83,0,0.79,2.78,5,0.59,Authoritarian
EquatorialGuinea,1.77,0,0.79,2.22,4.38,1.47,Authoritarian
CentralAfricanRepublic,1.57,1.33,0,1.67,2.5,2.35,Authoritarian
Chad,1.5,0,0,1.11,3.75,2.65,Authoritarian
Syria,1.43,0,0,2.78,4.38,0,Authoritarian
NorthKorea,1.08,0,2.5,1.67,1.25,0,Authoritarian