,prod
UnitedStates,13973000
SaudiArabia,11624000
Russia,10853000
China,4572000
Canada,4383000
UnitedArabEmirates,3471000
Iran,3375000
Iraq,3371000
Brazil,2950000
Mexico,2812000
Kuwait,2767000
Venezuela,2689000
Nigeria,2427000
Qatar,2055000
Norway,1904000
Angola,1756000
Algeria,1721000
Kazakhstan,1719000
Colombia,1016000
India,978000
Oman,951000
Indonesia,911000
UnitedKingdom,906000
Azerbaijan,856000
Argentina,715000
Malaysia,697000
Egypt,667000
Ecuador,557000
Libya,516000
Australia,478000
Thailand,422000
Vietnam,316000
Turkmenistan,276000
EquatorialGuinea,269000
SudanandSouthSudan,262000
"Congo,Republicofthe",259000
Gabon,240000
Peru,180000
Denmark,171000
Italy,169000
Germany,160000
"SouthAfrica,Republicof",160000
Japan,137000
Yemen,127000
Brunei,124000
TrinidadandTobago,116000
Ghana,106000
Romania,104000
Chad,103000
Pakistan,98000
Uzbekistan,85000
Cameroon,81000
SouthKorea,79000
Timor-Leste,76000
Bolivia,67000
Ukraine,66000
Bahrain,64000
Netherlands,64000
France,61000
Turkey,61000
Tunisia,59000
NewZealand,50000
Cuba,49000
Spain,40000
Poland,39000
IvoryCoast,37000
PapuaNewGuinea,34000
Syria,33000
Belarus,32000
Austria,27000
Philippines,26000
Hungary,25000
Taiwan,22000
Albania,21000
Myanmar,21000
Mongolia,21000
Serbia,21000
"Congo,DemocraticRepublicofthe",20000
Niger,20000
Singapore,20000
Croatia,18000
Chile,15000
"VirginIslands,U.S.",15000
Guatemala,14000
Suriname,14000
Belgium,13000
Estonia,13000
Sweden,12000
CzechRepublic,11000
Finland,10000
Lithuania,9100
Slovakia,9100
Greece,8700
Portugal,7100
Mauritania,6000
Israel,5800
Morocco,5100
Bangladesh,4800
Switzerland,3900
Bulgaria,3400
Aruba,2800
Jamaica,2100
Paraguay,2000
Belize,1800
NetherlandsAntilles,1500
Uruguay,1200
Barbados,1000
Georgia,1000
Latvia,1000
"Ireland,Republicof",900
PuertoRico,700
CostaRica,300
Slovenia,300
Jordan,200
Malawi,200
Tajikistan,200
Zambia,200
Ethiopia,100
HongKong,100
Zimbabwe,100
,